en_Tienda,edad,articulo,monto,region
0,60,8,2103.8,3
1,58,4,968.38,3
0,51,7,143.59,2
1,40,7,863.82,3
0,41,4,915.21,1
0,79,6,426.17,2
0,79,1,471.43,2
0,31,3,115.52,2
0,29,6,129.25,4
1,25,6,1025.9,1
0,57,2,1384.7,3
0,55,6,352.82,2
0,58,1,450.41,2
0,73,5,416.93,2
0,60,3,638.38,3
1,35,4,1740.1,4
1,32,4,1308.3,1
1,50,4,749.37,3
1,25,4,1854.8,4
1,48,8,707.09,1
1,35,1,965.75,4
0,56,5,15.86,2
0,50,8,152.97,2
0,71,6,74.1,2
1,59,1,344.11,3
1,72,1,919.24,1
0,62,5,381.25,2
1,37,1,361.42,4
0,25,2,569.47,4
1,47,4,480.06,3
1,74,7,896.37,1
0,20,8,114.6,3
0,37,7,234.27,2
1,38,2,734.63,1
0,51,2,1213.5,4
0,42,2,937.62,1
1,43,6,1416.7,4
0,28,4,97.31,2
1,21,4,1431.4,1
1,30,7,514.6,4
0,53,8,1085,1
0,31,6,377.83,2
1,33,7,890.63,3
0,36,3,1528,4
0,34,3,1040.8,3
0,56,3,807.78,4
0,37,4,1319.9,4
0,72,8,143.54,2
1,36,3,658.4,3
0,39,1,497.33,2
0,64,6,87.61,2
1,44,7,1346,4
1,28,6,143.26,4
1,39,6,1090.7,4
0,31,3,13.83,2
1,27,1,385.71,3
0,52,2,1423,4
1,63,6,227.45,3
0,27,4,2851.3,4
0,69,5,83.12,2
0,46,2,483.55,2
1,32,4,1075,4
0,47,1,2294.6,4
0,49,2,2318.6,4
1,73,1,484.74,1
0,23,5,542.84,4
1,46,1,1243,1
0,34,7,758.79,1
1,20,4,1090.5,4
1,36,6,658.17,1
1,34,6,414.22,1
1,38,6,555.77,4
1,37,2,1157.1,4
0,34,7,850.26,3
1,49,6,277.02,3
0,45,3,220.23,2
0,59,6,2914.3,4
1,58,2,611.58,3
1,34,4,397.38,4
0,30,6,363.88,2
0,46,2,124.11,2
0,18,6,714.21,4
0,34,3,176.78,2
1,42,5,1928.6,4
0,19,8,2338.2,4
0,52,6,181.2,4
1,34,3,1344.1,4
1,39,8,665.3,1
0,44,7,658.44,1
0,46,3,307.04,2
0,57,6,316.31,1
1,55,6,1826.1,4
1,25,2,915.21,1
1,31,6,433.19,4
0,41,7,2766.5,3
1,35,7,1068,1
1,39,2,585.36,3
0,25,8,561.22,3
1,53,8,1693.5,4
0,74,5,361.46,2
1,20,8,287.49,4
1,40,4,778.92,1
0,84,7,11.52,2
1,45,1,959.29,1
0,29,2,483.71,2
1,30,7,938.64,1
0,35,7,411.92,2
1,26,3,1403.3,1
1,40,3,420.28,4
0,22,6,1439.4,3
1,22,6,1364.9,1
1,61,5,137.64,3
0,20,5,851.72,3
1,35,2,1595.4,4
1,49,6,975.6,1
0,57,7,965.08,4
1,69,6,119.84,1
1,47,4,519.58,1
1,46,4,1525.7,4
0,29,5,91.45,2
0,46,2,178.28,3
0,48,3,51.4,1
1,46,2,1466.9,4
1,61,4,296.56,3
0,64,6,8.04,2
0,52,1,2365.3,4
1,39,3,1301.5,4
0,55,2,1913.8,3
0,31,2,78.77,2
1,44,8,855.49,3
0,21,3,2094.1,4
0,31,2,358.44,2
1,52,4,182.66,3
0,38,6,2072.3,3
0,32,6,512.13,4
1,54,7,1313.8,4
0,44,6,474.44,2
0,18,6,1543.3,4
0,53,6,158.23,4
1,63,5,867.53,3
0,63,4,474.92,2
0,49,3,1040.5,4
0,34,6,1534.5,4
0,37,4,1480.5,3
0,39,4,129.33,2
1,46,2,1595.5,4
1,56,7,424.65,3
0,56,4,476.01,1
0,41,6,119.87,2
1,74,4,380.46,3
1,47,5,1528.3,4
1,48,7,354.38,1
1,57,6,427.88,3
0,52,6,1473.3,4
1,35,2,1499.5,4
1,68,6,859.63,1
0,25,8,1700.5,4
0,63,1,303.14,2
0,65,5,121.3,2
0,53,3,1099.9,3
0,27,3,716.18,4
0,45,2,493.1,4
1,19,3,1490.7,1
0,45,6,346.57,2
1,38,4,922.34,3
0,81,3,263.61,2
1,27,1,1876.1,4
1,41,7,146.07,3
1,40,2,65.61,1
0,56,8,394.98,2
0,34,5,318.73,2
1,44,7,799.22,4
0,57,7,407.01,2
1,19,7,406.87,4
1,38,3,85.03,1
0,33,7,977.49,1
0,81,4,300.92,2
0,74,7,173,2
0,51,7,2542.6,4
0,21,6,706.93,4
0,48,4,723.12,1
0,82,7,162.73,2
1,53,5,1611,1
0,44,5,198.3,2
0,54,5,341.03,2
0,28,4,1750.6,4
0,52,2,839.5,3
1,61,7,413.76,1
1,57,8,530.08,3
0,67,4,435.31,2
1,26,5,828.08,3
0,82,8,480.23,2
0,45,3,103.43,2
1,57,6,312.17,1
1,23,2,1658.7,4
0,64,4,10.16,2
0,83,2,296.49,2
0,31,3,1496.4,3
1,43,4,755.59,1
0,68,5,230.11,2
1,45,7,1741.8,1
0,50,8,2789.9,3
0,29,8,364.8,2
1,63,8,502.61,3
0,73,2,312.03,2
1,27,8,209.06,3
1,45,4,328.96,4
0,43,8,22.98,2
0,51,7,96.33,2
0,35,7,221.65,2
1,71,4,894.57,3
1,39,5,280.92,3
1,71,4,619.41,1
0,58,6,1473.2,4
0,83,3,182.19,2
0,54,2,300,2
0,29,8,455.4,2
1,58,6,173.65,1
0,40,6,795.18,1
1,32,8,580.2,1
1,42,1,1343.6,1
1,41,5,817.65,1
0,19,4,1163.8,1
0,39,5,182.61,2
1,29,7,728.85,4
0,47,3,952.42,4
1,33,2,748.29,4
1,35,3,481.67,3
1,19,6,1423.4,4
1,61,6,724.35,3
0,22,2,496.96,4
0,41,5,679.56,3
0,43,4,99.78,2
0,56,2,64.25,2
1,51,5,886.59,4
1,42,7,283.29,4
0,44,5,128.99,2
1,21,2,1327.4,1
0,40,4,189.95,4
0,28,3,2712.8,4
1,50,6,820.96,1
1,70,4,260.3,1
0,53,7,21.26,2
1,26,1,414.09,4
1,41,6,451.59,4
0,57,4,496.77,4
1,34,6,400.43,4
0,29,6,994.08,1
1,55,2,716.34,3
1,42,1,1447.9,1
0,41,5,158.28,2
0,53,2,1810.7,4
1,46,5,1701.5,4
1,40,5,407.9,4
1,69,3,853.6,3
0,46,6,2836.4,4
1,69,1,965.57,3
1,34,4,891.14,1
1,67,7,943.49,3
0,55,3,179.64,4
1,51,4,1670.3,4
1,32,4,65.29,4
1,59,2,315.48,1
0,47,3,226.62,2
0,57,8,462.21,2
1,67,7,730.65,3
1,47,8,1327.9,4
0,40,7,9.6,2
1,34,3,828.51,1
1,30,5,1665.1,4
0,43,3,650.78,4
0,36,3,1189.8,3
0,53,6,334.17,2
1,24,5,333.82,4
1,24,5,1706.2,1
1,47,4,321.09,3
1,30,3,509.25,3
1,62,8,892.98,3
1,27,3,939.82,4
1,43,1,333.98,4
0,62,7,175.54,2
0,43,2,411.98,2
1,39,8,226.3,1
0,46,8,1971.9,4
0,70,4,21.66,2
1,57,2,94.37,1
0,26,5,1605.6,4
0,43,4,1438.5,4
0,62,2,235.97,2
1,33,7,1182.5,4
1,28,3,783.84,4
0,22,6,2660.2,3
0,40,3,312.23,4
0,58,7,2586.8,4
1,31,6,693.82,1
0,45,7,633.74,4
1,33,4,1478.4,4
1,41,7,57.33,1
0,77,3,235.2,2
0,27,2,2718.1,3
1,37,5,808.75,3
0,51,3,1363.8,4
0,60,3,1396.9,4
0,44,6,2318.7,4
1,29,7,381.64,3
0,63,6,224.31,2
0,37,4,2626.9,4
0,34,4,272.95,2
0,73,3,492.81,1
0,57,7,259.92,2
0,59,6,1390,3
1,44,8,730.85,1
0,49,2,332.1,2
0,54,6,405.74,2
0,72,4,432.54,2
0,57,3,568.47,4
0,57,4,708.22,4
1,46,6,1258.6,4
1,69,5,555.94,1
0,32,1,20.43,2
1,25,3,1674.1,4
0,56,3,104.56,1
0,57,5,1508.6,4
1,38,4,1800.3,4
0,34,3,483.7,2
1,24,2,176.31,4
0,38,1,1894.4,4
1,30,6,983.83,3
1,51,5,928.45,4
0,24,7,2511.5,4
1,55,4,202.61,1
1,31,4,1528.1,4
1,55,4,942.03,3
1,71,4,404.78,3
0,61,3,1282.3,4
1,52,2,851.06,4
1,69,4,252.3,1
1,67,3,704.08,3
1,34,1,1890.5,4
1,73,3,487.76,3
0,37,5,2612,4
0,59,7,2070.7,4
0,45,4,105.69,2
1,29,2,1967.3,1
1,32,6,256.82,3
1,28,4,281.96,1
0,78,5,491.27,2
1,23,7,154.43,4
1,48,5,160.67,4
0,34,4,1270.3,4
0,60,6,32.41,2
1,33,4,227,3
1,33,1,216.31,1
0,53,6,237.2,2
0,60,5,2380.1,4
0,25,1,2451.2,4
0,33,4,824.34,4
1,73,5,775.97,1
1,53,2,456.37,3
0,69,8,340.68,2
0,62,7,388.79,2
1,30,8,1623.6,1
0,77,5,99.17,2
0,26,1,2410.7,4
0,50,6,205.2,1
0,35,4,927.07,1
0,44,1,816.71,1
0,41,2,17.63,2
0,61,5,516.54,4
1,29,6,98.33,1
1,74,6,807.91,1
1,33,6,841.27,1
1,50,8,133.95,4
1,63,7,940.89,3
0,76,4,213.4,2
1,20,6,1388.8,4
0,56,2,613.87,1
0,33,2,296.26,2
0,62,1,469.86,2
0,52,8,991.15,4
0,32,2,281.36,2
1,47,8,694.76,1
